Number of Trajectories,EVD VAIRL,EVD IAVI,EVD IQL,EVD MAXENT,PR VAIRL,PR IAVI,PR True IAVI,PR Maxent,PR IQL,PR True IQL,Runtime VAIRL,Runtime IAVI,Runtime IQL,Runtime Maxent
1.0,8061.630871361154,8194.731146290227,8249.03732364198,8061.630871361154,0.7059730369139846,0.683708994224449,0.010870596375671187,0.6790551204718682,0.012938083681126098,0.26853472357316993,10336.179383516312,210.19348454475403,0.042047739028930664,10336.179280757904
2.0,7834.776319999226,8012.7676555725375,8247.098489161155,7834.776319999226,0.6743465251658343,0.6650946895649655,0.16299170945796862,0.6789361011092768,0.0294380338327888,0.5772592872656965,10338.080988645554,217.70209670066833,0.0722205638885498,10338.080867290497
4.0,7437.267524443436,7627.452996511511,8232.237992227943,7437.267524443436,0.7290444170061513,0.7073749131406409,0.335645517285328,0.6807711257039956,0.07377393273977924,0.39223903506423813,10038.435449361801,215.98125886917114,0.13494324684143066,10038.435289144516
8.0,6132.887247029857,7047.485931845726,8219.152041661764,6132.887247029857,0.6715765445942381,0.7411446385267223,0.05563079071918998,0.6867632003097701,0.014263803841423901,0.5974134753492407,9538.150842905045,211.23118686676025,0.26221656799316406,9538.150614738464
16.0,5203.8259551883975,5626.8185728045555,8201.486682433271,5203.8259551883975,0.7578417619627076,0.7514160759473073,0.22896306390141885,0.6884466256000292,0.0809638181004904,0.6612686907861228,10152.749331235886,220.49306178092957,0.519568920135498,10152.748930215836
32.0,3947.3865583906136,4067.1953674714478,8103.439000502008,3947.3865583906136,0.7910569222860849,0.7189219018987256,0.10959863013924803,0.6995439883194398,0.10340498198762764,0.40954484911327793,9878.535652637482,211.913236618042,0.9921257495880127,9878.53497004509
64.0,3129.407611481006,2387.9316407335837,7918.300985323736,3129.407611481006,0.8180065056794049,0.6224423594832452,0.06972831584255114,0.7122551541577714,0.17847335406808595,0.2523077816797252,10146.319885253906,225.80791997909546,2.2546138763427734,10146.318750143051
128.0,1409.428567745364,347.95955700526804,7432.631464427146,1409.428567745364,0.8160781267899336,0.8528307715894821,0.2856343848526567,0.7497164087939548,0.2349031328681522,0.4854034656770666,9413.456908941269,230.63890099525452,4.003710031509399,9413.454702615738
256.0,1658.9248372236161,72.82567467747762,6112.45679632992,1658.9248372236161,0.8646676207687646,0.9150699958070929,0.1222505480635023,0.8157943455185874,0.2081414051261634,0.23854542195098113,10024.698846817017,237.92137932777405,8.057662010192871,10024.69427895546
512.0,834.556635215459,23.642395014712008,3591.943213228872,834.556635215459,0.8192857762910343,0.9661173880521504,-0.25399790546099155,0.8718125264220224,0.22089873011762998,0.15508595787027768,9589.564319849014,240.86734318733215,15.435885906219482,9589.556052923203
1024.0,406.32860769126984,9.997952789732848,947.0063822219198,406.32860769126984,0.9079973631023693,0.987882578846429,-0.5389027168831854,0.9471315622238164,0.2183738690883057,0.43491320338700096,10750.904100894928,236.4514763355255,33.37517428398132,10750.887665510178
2048.0,300.7407441900702,3.150094189030299,152.29242443610917,300.7407441900702,0.8793473640206219,0.996656402296734,-0.490109037749578,0.8458333385626041,0.21125791357889726,0.32112736745652193,11727.869321107864,231.4723002910614,66.8577790260315,11727.836434364319
