Number of Trajectories,EVD VAIRL POL,PR VAIRL POL,PR True VAIRL POL,PR Reward,Runtime VAIRL POL
1.0,10.324879144833986,0.9147592177100945,-0.03049554747682951,-0.0027595468471020576,0.0004658699035644531
2.0,10.170125569446316,0.9171760346007019,-0.018366966105332044,-0.0019511354595379807,0.0005328655242919922
4.0,9.85382796575624,0.921661088980498,0.09027164227600884,-0.04345177508100047,0.0007076263427734375
8.0,9.784912231076223,0.9217507537931401,0.014388249862850672,-0.02815902759162059,0.0011129379272460938
16.0,8.769182690278813,0.9293228382514216,0.15000396438580935,-0.010777739917846155,0.001939535140991211
32.0,8.05886610769114,0.9283682242521979,0.1320176597468111,0.028732551178412113,0.003935813903808594
64.0,5.76898821957171,0.9368686688183951,0.40955828272338657,0.09275435178043266,0.006851673126220703
128.0,3.5113734129246676,0.9421440802497418,0.4601611837122172,0.19351362413896486,0.01314544677734375
256.0,1.4846407639346375,0.9652019073909692,0.6641462093637455,0.3085153783853419,0.02599930763244629
512.0,0.36120577411421206,0.9747405172484384,0.807785142121624,0.40782171843042525,0.051461219787597656
1024.0,0.1544716372336386,0.9804204939830206,0.8569169945916763,0.504344121868575,0.10273456573486328
